,für,über,können,jahr,zwei,zeit,jahre,gibt,ersten,jahren,menschen,während,heute,später,chr,erste,z.,hitler,alexander,drei,v.,jahrhundert,form,ohne,b.,deutschen,teil,beispiel,stadt,deutschland,bezeichnet,sei,ende,de,aristoteles,//de.wikipedia.org/wiki,meist,bekannt,konnte,verwendet,insbesondere,worden,aufgrund,zunächst,’,gilt,beispielsweise,große,wegen,of,hitchcock,großen,neuen,liegt,stark,welt,siehe,film,neue,arbeit,zurück,ließ,rolle,the,aldi,staaten,jahrhunderts,besteht,wobei,deutsche,aluminium,meisten,merkel,prozent,bedeutung,sprache,tod,a,crowley,genannt,september,gegenüber,oktober,sprachen,art,leben,steht,namen,millionen,bevölkerung,vier,häufig,april,lassen,märz,rund,august,1,verschiedenen,januar
aristoteles,18.0,5.0,1.0,,3.0,,,1.0,,,,,1.0,1.0,,2.0,,,3.0,1.0,3.0,2.0,6.0,1.0,,,1.0,2.0,,,,,,,265.0,,,2.0,3.0,2.0,3.0,,,,21.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//de.wikipedia.org/wiki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meist,1.0,3.0,1.0,,3.0,3.0,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,2.0,,,1.0,,,,,3.0,1.0,,,,,173.0,,,2.0,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bekannt,2.0,,,1.0,1.0,4.0,,,,3.0,1.0,3.0,5.0,1.0,,2.0,,,2.0,2.0,,,,,,1.0,,,,,,,,,2.0,,,210.0,,,,,,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
konnte,4.0,,,2.0,1.0,,1.0,,1.0,1.0,,,,2.0,,,,1.0,3.0,,,3.0,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,,,,216.0,,,,,2.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verwendet,15.0,,3.0,,1.0,1.0,,,,,,,2.0,,,,1.0,,,,,,2.0,1.0,1.0,,,,,,,1.0,,,2.0,,2.0,,,173.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insbesondere,9.0,1.0,3.0,,1.0,,1.0,,1.0,2.0,,1.0,,,,,,,,,,1.0,,,,,1.0,,,3.0,1.0,,,,3.0,,,,,2.0,183.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worden,3.0,,,,,,,,,,1.0,,,,,,2.0,,1.0,,,,,,1.0,,,,2.0,,3.0,9.0,1.0,,,,,,,1.0,,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aufgrund,3.0,,2.0,,,1.0,,,,,1.0,1.0,,1.0,,,2.0,,1.0,,,,,,,,,,,,,3.0,,,,,2.0,,,,,,186.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zunächst,4.0,3.0,,,2.0,,1.0,,,,,,,4.0,,,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,2.0,,,,,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
’,4.0,2.0,2.0,1.0,,,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,5.0,21.0,,,,,,,,,,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gilt,21.0,,,2.0,,1.0,,,,,3.0,,4.0,,,2.0,2.0,,,,,,1.0,,1.0,,,2.0,,,,,,,1.0,,,1.0,,,1.0,,,,,158.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beispielsweise,8.0,2.0,6.0,,,,1.0,1.0,,,,,,,,1.0,,,2.0,,,,1.0,,,5.0,,,,,2.0,1.0,,,,,,,1.0,,,,1.0,,,1.0,162.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
große,14.0,2.0,1.0,,5.0,1.0,,1.0,,3.0,1.0,,1.0,1.0,,2.0,,,9.0,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,2.0,3.0,,,,,,,,,1.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wegen,4.0,,,,,,1.0,,1.0,1.0,,1.0,,,,,,2.0,2.0,1.0,,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,,,2.0,,2.0,,,,,,,,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hitchcock,20.0,2.0,,,1.0,3.0,1.0,,3.0,2.0,,,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
großen,4.0,2.0,,,1.0,1.0,,1.0,3.0,,,2.0,2.0,,,,,,5.0,1.0,1.0,2.0,,,,,7.0,,2.0,,,,1.0,,1.0,,1.0,1.0,1.0,,,,6.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neuen,4.0,,2.0,,1.0,1.0,,,,,1.0,1.0,1.0,2.0,,2.0,,1.0,1.0,,,1.0,,,,1.0,,,2.0,,,,,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
